No,会社名(正式),別名/表記ゆれ,区分,区分名,商談件数,累計成約金額(JPY),直近成約日,主な取扱,要確認,備考(根拠Deal等)
13,都築電気株式会社,都築電気,2,リセラー/販売店,1,654214,2026-04-17,Notta Memo,,「【Memoセット】株式会社壱番屋(DIS)」
14,RADIX・CG株式会社,RADIX / Radix Co. Ltd.,2,リセラー/販売店,17,463475,2026-06-10,SaaS,,多数の外部エンドユーザー向けDeal。COMPANY type=PARTNER。HubSpot上2レコードを合算
15,株式会社ソフトクリエイト,ソフトクリエイト,2,リセラー/販売店,5,448583,2026-06-18,SaaS+Memo,,「【Memo Type-C】株式会社シミズ・ビルライフケア(SB C&S)」
16,株式会社MIKAZUKI AI,mikazuki AI,2,リセラー/販売店,3,435955,2026-04-01,SaaS(医療向け),,「松戸市立総合医療センター」「東海大学医学部付属八王子病院」
17,株式会社システナ,システナ,2,リセラー/販売店,2,411687,2026-02-20,SaaS+Memo,,「本田技研工業株式会社」「【Memo単体】株式会社ウィルオブ・コンストラクション」
18,合同会社MAREMI,MAREMI,2,リセラー/販売店,13,404496,2026-05-21,SaaS,,「医療法人 彩清会 清水病院」「守屋八潮建設株式会社」等 茨城地盤の外販
19,株式会社エクレクト,eclect / エクレクト,2,リセラー/販売店,15,370455,2026-06-24,SaaS,,Deal名に「via eclect」を明示
20,株式会社Faber Company,Faber Company,2,リセラー/販売店,4,347850,2026-06-26,SaaS+Memo,,「ZEEBRAJAPAN株式会社」「【Memoセット】医療法人杏園会(DIS)」
21,Ycomps Co. Ltd.,ycomps / ワイコム,2,リセラー/販売店,5,331140,2026-02-04,SaaS+Memo,要確認,外販は「株式会社アーキテックス」1社のみ。他はグループ会社向け
22,SCSK株式会社,SCSK,2,リセラー/販売店,7,324481,2026-04-03,SaaS+Memo,,「SCSK様経由マネックス証券様社員営業並びに傘下IFA向けNotta+Memo」等 証券IFA向け商流
23,株式会社内田洋行ITソリューションズ,内田洋行ITS,2,リセラー/販売店,3,319970,2026-06-08,SaaS+Memo,,「【更新】社会福祉法人 聖風会(DIS)」
24,コニカミノルタジャパン株式会社,コニカミノルタNC,2,リセラー/販売店,2,270858,2026-04-30,SaaS,,HubSpot上2レコードを合算
25,株式会社カントー,カントー,2,リセラー/販売店,3,230183,2026-06-19,SaaS+Memo,,「【追加】公益社団法人日本港湾協会(SB C&S)」=SB C&S配下
26,株式会社ソルコムビジネスサービス,ソルコムBS,2,リセラー/販売店,2,188313,2026-04-21,Notta Memo,要確認,COMPANY type=RESELLERだがDealは親会社ソルコム向けのみ
27,株式会社イシマル,イシマル / Ishimaru Co. Ltd.,2,リセラー/販売店,3,83853,2026-06-26,Notta Memo,,「【Memoセット】医療法人博愛会 哲翁病院(DIS)」
28,長野日本ソフトウエア株式会社,長野日本ソフトウエア,2,リセラー/販売店,1,72230,2026-06-26,SaaS,,パートナーPL成約
29,函館インフォメーション・ネットワーク株式会社,HIN,2,リセラー/販売店,3,54171,2026-04-30,SaaS,,「【更新】八雲町役場(DIS)」=DIS配下の道南地場販社
30,京セラドキュメントソリューションズジャパン株式会社,京セラDSジャパン,2,リセラー/販売店,1,42299,2026-06-15,SaaS,,パートナーPL成約
31,東京アプリケーションシステム,TASC,2,リセラー/販売店,1,36115,2026-05-01,Notta Memo,,COMPANY type=RESELLER。「社会福祉法人紫雲寺加治川福祉会(DIS)」
32,NTTドコモビジネス株式会社,ドコモビジネス / 株式会社ドコモビジネスソリューションズ,2,リセラー/販売店,4,36114,2026-06-18,SaaS+Memo,,「(株)南都銀行様」「北陸銀行」等 金融向け商流。HubSpot上複数レコード
33,日本事務器株式会社,Nippon Jimuki Co. Ltd.,2,リセラー/販売店,1,0,,SaaS,,「日本事務器 仙台 - 取次案件 DIS経由 Reseller販売」。直近24ヶ月の成約実績なし
34,伊藤忠テクノソリューションズ株式会社,CTC,2,リセラー/販売店,,,,SaaS,要確認,Deal名「SBC&S様CTC様経由ユアテック様全社展開」にのみ登場。COMPANYレコード未登録で集計不能
35,日本オフィス・システム株式会社,NOS,2,リセラー/販売店,0,0,,,要確認,COMPANY type=PARTNERだが直近24ヶ月のパートナーPL Dealなし
36,株式会社メガ・トレンド,メガ・トレンド,2,リセラー/販売店,0,0,,,要確認,COMPANY type=RESELLERだが直近24ヶ月のパートナーPL Dealなし
37,株式会社セールスフォース・ジャパン,Salesforce Japan,4,リード創出/アライアンス,0,0,,送客/共販,,COMPANY登録あり(salesforce.com)だがパートナー案件PLには0件
38,Kaen,KAEN / 株式会社KAEN,4,リード創出/アライアンス,0,0,,アウトバウンド送客,,COMPANY登録あり(kaen-inc.com)。パートナーPL Dealなし
39,Apprate,アプレイト,4,リード創出/アライアンス,0,0,,アライアンス,,COMPANY登録あり(apprate.jp)。パートナーPL Dealなし
40,Slack,Slack Technologies,4,リード創出/アライアンス,0,0,,共販/アライアンス,,COMPANY登録あり(slack.com)。パートナーPL Dealなし
41,TAAAN,,4,リード創出/アライアンス,,,,,要確認,HubSpotに該当COMPANYレコードが存在しない
42,株式会社2.3,2.3,4,リード創出/アライアンス,,,,,要確認,HubSpotに該当COMPANYレコードが存在しない
